0	106084327581949952	null
0	678492701453627392	106084327581949952
1	149589104168939520	null
1	373526119758049280	149589104168939520
1	373528844516339712	373526119758049280
1	665785184403513344	373528844516339712
2	212966706786742274	null
2	213028459872653313	212966706786742274
3	249159028570198019	null
3	250212072116346881	249159028570198019
4	252449666111791104	null
4	252754781016313856	252449666111791104
4	252709063039787008	252449666111791104
5	253882737855971328	null
5	253911253091749888	253882737855971328
5	253912325545922560	253911253091749888
6	257837314951241728	null
6	257840554228994048	257837314951241728
7	263280389039218690	null
7	263294415710347264	263280389039218690
8	273084695393210368	null
8	273097480416161792	273084695393210368
8	273097696921919488	273097480416161792
8	273105193833467904	273097696921919488
9	273108270711963648	null
9	273109093651210242	273108270711963648
10	285457218067898369	null
10	285466682657476608	285457218067898369
11	286533922907648000	null
11	287269403685449729	286533922907648000
12	311598441325277185	null
12	313763307175690240	311598441325277185
13	331907383771148288	null
13	331908229745475586	331907383771148288
14	346998236776640513	null
14	347004608423538688	346998236776640513
15	368260013791641600	null
15	368260279420731392	368260013791641600
16	382567832287846401	null
16	382571180151934976	382567832287846401
17	421291569149652994	null
17	422775643948851200	421291569149652994
18	473323753016139776	null
18	473999012358414336	473323753016139776
18	474000542344028160	473999012358414336
19	475657956520775680	null
19	475659220025503744	475657956520775680
20	508194635270062080	null
20	508194837401972736	508194635270062080
21	509000779530002432	null
21	509008811576008704	509000779530002432
22	509406511236669440	null
22	509411978172198912	509406511236669440
23	537157586316165120	null
23	537162653450264576	537157586316165120
24	548138739596148736	null
24	548718443650760704	548138739596148736
24	550046201236959232	548718443650760704
24	550862938983366656	550046201236959232
24	552667851178274817	550862938983366656
24	552679469883068416	552667851178274817
24	552682030954450944	552679469883068416
24	552682276308656128	552682030954450944
24	552683880189554689	552682276308656128
24	552686709222436864	552683880189554689
24	552688021313945600	552686709222436864
25	601032213900066817	null
25	601037382758961153	601032213900066817
26	601251820149673984	null
26	696935464704540675	601251820149673984
26	701904174942793728	696935464704540675
27	610840667657502721	null
