0.0100	0.0674	0.0670
0.0277	0.0962	0.0927
0.1287	0.1940	0.1935
0.2656	0.3339	0.3366
0.3668	0.4041	0.4153
0.4388	0.4536	0.4690
0.4909	0.5142	0.4878
0.5065	0.5449	0.5368
0.5671	0.5624	0.5723
0.5749	0.5710	0.5905
0.5767	0.5986	0.6179
0.5879	0.6014	0.6201
0.6001	0.6178	0.6263
0.6435	0.6249	0.6335
0.6456	0.6245	0.6331
0.6481	0.6249	0.6332
0.6481	0.6252	0.6331
0.6485	0.6256	0.6334
0.6478	0.6253	0.6332
0.6472	0.6257	0.6331
0.6463	0.6254	0.6331
0.6453	0.6255	0.6332
0.6449	0.6254	0.6331
0.6443	0.6253	0.6342
0.6432	0.6255	0.6336
0.6421	0.6252	0.6338
0.6337	0.6256	0.6320
0.6337	0.6258	0.6327
0.6321	0.6268	0.6334
0.6311	0.6264	0.6328
0.6325	0.6257	0.6324
0.6291	0.6253	0.6324
0.6272	0.6252	0.6323
0.6273	0.6253	0.6326
0.6232	0.6249	0.6319
0.6249	0.6252	0.6320
0.6245	0.6253	0.6320
0.6226	0.6254	0.6324
0.6222	0.6255	0.6318
0.6230	0.6253	0.6321
